# winprofile.ini escape vectors. See doc/winprofile-ini.md for the codecs and
# httrack-works/winprofile-table/DESIGN.md for why this is data rather than a
# callable function: no front end can call another's codec from its unit tests.
#
# Columns: raw, encoded, state, note.
#
# raw uses \r \n \t \\ for those four bytes and is otherwise literal ASCII. The
# file is ASCII only: winprofile.ini declares no charset, the three front ends
# do not agree on one, and a non-ASCII vector passes in one place and mangles in
# another with nothing here to show the difference.
#
# state=agreed: all three encode raw to encoded and decode it back. Assert both
# directions.
# state=divergent: they do not agree, encoded is empty, and the note says how.
# A consumer SKIPS these and COUNTS the skip; a silent pass would make the
# marker a way to hide cases from the test meant to catch them.
#
# raw	encoded	state	note
		agreed	empty value round-trips
abc	abc	agreed	plain ASCII passes through
a b	a b	agreed	a space is not escaped by any of the three
100%	100%%	agreed	percent doubles
%%	%%%%	agreed	an already-doubled percent doubles again
a\rb	a%0db	agreed	CR, the byte that would otherwise end the line
a\nb	a%0ab	agreed	LF, likewise
a\tb	a%09b	agreed	TAB
\r\n	%0d%0a	agreed	a CRLF pair encodes as two escapes
a\r\nb	a%0d%0ab	agreed	and inside a value
-	-	agreed	a lone dash is not a marker
a=b		divergent	WinHTTrack writes a%3db, the other two write it raw
a"b		divergent	WebHTTrack writes a%22b in its unquoted fields, the others raw
%41		divergent	decode: WinHTTrack gives a space, the other two give A
%0D		divergent	decode: WinHTTrack is case-sensitive and gives a space
%zz		divergent	decode: WinHTTrack a space, WebHTTrack passes it, Android throws
%		divergent	decode: a truncated escape, Android throws where the others do not
